中,英文,日文,域,域-latin,界,界-latin,門,門-latin,亞門,亞門-latin,綱,綱-latin,亞綱,亞綱-latin,目,目-latin,科,科-latin,亞科,亞科-latin,屬,屬-latin,種,種-latin
鮸魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,,,石首魚科,Sciaenidae,,,鮸魚屬,Miichthys,鮸魚,Miichthys miiuy
尖吻鱸/盲鰽,barramundi,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,,,鋸蓋魚科,Centropomidae,,,尖吻鱸屬,Lates,尖吻鱸,Lates calcarifer
鮭/三文魚,salmon,さけ/サーモン,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,原棘鰭類,Protacanthopterygii,鮭形目,Salmoniformes,鮭科,Salmonidae,鮭亞科,Salmoninae,,,,
虹鱒,rainbow trout,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,原棘鰭類,Protacanthopterygii,鮭形目,Salmoniformes,鮭科,Salmonidae,鮭亞科,Salmoninae,麻哈魚屬,Oncorhynchus,虹鱒,Oncorhynchus mykiss
多春魚/多膥魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,巨口魚類,Stomiatii,胡瓜魚目,Osmeriformes,胡瓜魚科,Osmeridae,,,油胡瓜魚屬,Spirinchus,長體油胡瓜魚,Spirinchus lanceolatus
銀魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,巨口魚類,Stomiatii,胡瓜魚目,Osmeriformes,銀魚科,Salangidae,,,,,,
龍頭魚/九肚魚（龍頭鮳）,Bombay duck fish,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,,,仙女魚目,Aulopiformes,合齒魚科,Synodontidae,龍頭魚亞科,Harpadontinae,龍頭魚屬,Harpadon,龍頭魚屬,Harpadon nehereus
灣鱷,saltwater crocodile,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,,,,,鱷目,Crocodylia,鱷科,Crocodylidae,,,鱷屬,Crocodylus,灣鱷,Crocodylus porosus
鱉/甲魚/王八,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,,,,,龜鱉目,Testudines,鱉科,Trionychidae,,,中華鱉屬,Pelodiscus,中華鱉,Pelodiscus sinensis
牛蛙,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,兩棲綱,Amphibia,,,無尾目,Anura,蛙科,Ranidae,,,蛙屬,Rana,美國牛蛙,Rana catesbeiana
鴨,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雁形目,Anseriformes,鴨科,Anatidae,鴨亞科,Anatinae,鴨屬,Anas,綠頭鴨,Anas platyrhynchos
鵝,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雁形目,Anseriformes,鴨科,Anatidae,雁亞科,Anserinae,雁屬,Anser,鴻雁,Anser cygnoides
鴿,pigeon/dove,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,鴿形目,Columbiformes,鳩鴿科,Columbidae,,,鴿屬,Columba,原鴿,Columba livia
鵪鶉（鵪鶉蛋）,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雞形目,Galliformes,雉科,Phasianidae,鶉亞科,Perdicinae,鶉屬,Cortunix,,
雞,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雞形目,Galliformes,雉科,Phasianidae,雉亞科,Phasianinae,原雞屬,Gallus,原雞,Gallus gallus
火雞,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雞形目,Galliformes,雉科,Phasianidae,火雞亞科,Meleagridinae,火雞屬,Meleagris,火雞,Meleagris gallopavo
大吻斜齒鯊,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輭骨魚綱,Chondrichthyes,板鰓亞綱,Elasmobranchii,眞鯊目,Carcharhiniformes,眞鯊科,Carcharhinidae,,,斜齒鯊屬,Scoliodon,大吻斜齒鯊,Scoliodon macrorhynchos
家兔,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,靈長總目,Euarchontoglires,兔形目,Lagomorpha,兔科,Leporidae,,,穴兔屬,Oryctolagus,穴兔,Oryctolagus cuniculus
氂牛,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,牛亞科,Bovinae,牛屬,Bos,氂牛,Bos grunniens
黃牛,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,牛亞科,Bovinae,牛屬,Bos,黃牛,Bos taurus
水牛,buffalo,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,牛亞科,Bovinae,水牛屬,Bubalus,水牛,Bubalus bubalis
綿羊,sheep,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,羊亞科,Caprinae,羊屬,Ovis,綿羊,Ovis aries
豬,pig,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,豬科,Suidae,,,豬屬,Sus,野豬,Sus scrofa
驢,donkey,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,奇蹄目,Perissodactyla,馬科,Equidae,,,馬屬,Equus,驢,Equus asinus
海蜇,,,眞核域,Eukaryota,動物界,Metazoa,刺胞動物門,Cnidaria,,,缽水母綱,Scyphozoa,,,根口水母目,Rhizostomeae,根口水母科,Rhizostomatidae,,,,,,
海膽,,,眞核域,Eukaryota,動物界,Metazoa,棘皮動物門,Echinodermata,,,海膽綱,Echinoidea,,,,,,,,,,,,
刺蔘/遼蔘,,,眞核域,Eukaryota,動物界,Metazoa,棘皮動物門,Echinodermata,,,海蔘綱,Holothuroidea,楯手亞綱,Aspidochirotacea,楯手目,Aspidochirotida,刺蔘科,Stichopodidae,,,倣刺蔘屬,Apostichopus,刺蔘,Apotichopus japonicus
象鼻蚌,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,海螂目,Myoida,縫棲蛤科,Hiatellidae,,,海神蛤屬,Panopea,太平洋潛泥蛤,Panopea generosa
鳥貝,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,鳥尾蛤科,Cardiidae,,,？屬,Keenocardium,加州扁鳥蛤,Keenocardium californiense
蜆,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,蜆科,Corbiculidae,,,蜆屬,Corbicula,,
黃蜆子,,ばかがひ,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,馬珂蛤科,Mactridae,,,馬珂蛤屬,Mactra,中華馬珂蛤,Mactra chinensis
北極貝,,北寄がひ,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,馬珂蛤科,Mactridae,,,擬心蛤屬,Pseudocardium,庫䈎島馬珂蛤,Pseudocardium sachalinense
蟶子,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,毛蟶科,Solecurtidae,,,螠蟶屬,Sinonovacula,螠蟶,Sinonovacula constricta
竹蟶,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,竹蟶科,Solenidae,,,竹蟶屬,Solen,竹蟶,Solen strictus
紅心蛤,smooth clam,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,仙女蛤屬,Callista,？,Callista chione
普通文蛤,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,文蛤屬,Meretrix,麗文蛤,Meretrix lusoria
花蛤,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,花簾蛤屬,Ruditapes,,
紫石房蛤/天鵝蛋,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,石房蛤屬,Saxidomus,紫石房蛤,Saxidomus purpuratus
河蚌,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,古異齒亞綱,Palaeoheterodonta,蚌目,Unionoida,蚌科,Unionidae,蚌亞科,Unioninae,中國無齒蚌屬,Sinanodonta,背角無齒蚌,Sinanodonta woodiana
青口,Asian green mussel,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,貽貝目,Mytiloida,貽貝科,Mytilidae,貽貝亞科,Mytilinae,股貽貝屬,Perna,青口,Perna viridis
扇貝,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,海扇蛤目,Pectinoida,海扇蛤科,Pectinidae,,,,,,
江珧/帶子,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,鶯蛤目,Pterioida,江珧蛤科,Pinnidae,,,曲江珧蛤屬,Atrina,中國江珧,Atrina chinensis
牡蠣/生蠔,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,牡蠣目,Ostreoida,牡蠣科,Ostreidae,,,,,,
章魚,octopus,たこ,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,頭足綱,Cephalopoda,鮹亞綱,Coleoidea,八腕目,Octopoda,,,,,,,,
墨魚,cuttlefish,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,頭足綱,Cephalopoda,鮹亞綱,Coleoidea,墨魚目,Sepiida,墨魚科,Sepiidae,,,,,,
小管,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,頭足綱,Cephalopoda,鮹亞綱,Coleoidea,管魷目,Teuthida,槍烏鰂科,Loliginidae,,,槍烏鰂屬,Loligo,小管槍烏鰂,Loligo oshimai
螺螄,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,新進腹足亞綱,Caenogastropoda,主扭舌目,Architaenioglossa,田螺科,Viviparidae,,,,,,
花螺/深溝鳳螺,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,新進腹足亞綱,Caenogastropoda,新腹足目,Neogastropoda,峨螺科,Buccinidae,,,鳳螺屬,Babylonia,深溝鳳螺,Babylonia spirata
泥螺,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,異鰓亞綱,Heterobranchia,頭楯目,Cephalaspidea,泡螺科,Haminoeidae,,,泥螺屬,Bullacta,泥螺,Bullacta exarata
非洲大蝸牛,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,異鰓亞綱,Heterobranchia,柄眼目,Stylommatophora,瑪瑙螺科,Achatinidae,,,瑪瑙螺屬,Achatina,褐雲瑪瑙螺,Achatina fulica
鮑魚,,,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,古腹足亞綱,Vetigastropoda,小笠螺目,Lepetellida,鮑科,Haliotidae,,,鮑屬,Haliotis,,
海茸,,,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,墨角藻目,Fucales,海茸科,Durvillaeaceae,,,海茸屬,Durvillaea,海茸,Durvillaea antarctica
裙帶菜,,,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,海帶目,Laminariales,翅藻科,Alariaceae,,,裙帶菜屬,Undaria,裙帶菜,Undaria pinnatifida
海帶/昆布,,,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,海帶目,Laminariales,,,,,,,,
鹿角菜？,,,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,,,,,,,,,,
銀杏（白果）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,銀杏亞綱,Ginkgoidae,銀杏目,Ginkgoales,銀杏科,Ginkgoaceae,,,銀杏屬,Ginkgo,銀杏,Ginkgo biloba
紅松（松子）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,松柏亞綱,Pinidae,松目,Pinales,松科,Pinaceae,,,松屬,Pinus,紅松,Pinus koraiensis
西藏白皮松（巴西松子）,chilgoza pine,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,松柏亞綱,Pinidae,松目,Pinales,松科,Pinaceae,,,松屬,Pinus,西藏白皮松,Pinus gerardiana
香榧,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,頂臝子植物,Acrogymnospermae,,,松柏亞綱,Pinidae,柏目,Cupressales,紅豆杉科,Taxaceae,,,榧屬,Torreya,香榧,Torreya grandis
蕨菜,bracken,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,,,眞蕨綱,Polypodiopsida,水龍骨亞綱,Polypodiidae,水龍骨目,Polypodiales,碗蕨科,Dennstaedtiaceae,,,蕨屬,Pteridium,蕨菜,Pteridium aquilinum
茨菰/慈菇,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,澤瀉目,Alismataceae,,,茨菰屬,Sagittaria,茨菰,Sagittaria trifolia
蒟蒻（魔芋）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,天南星科,Araceae,天南星亞科,Aroideae,魔芋屬,Amorphophallus,蒟蒻,Amorphophallus konjac
芋,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,天南星科,Araceae,天南星亞科,Aroideae,芋屬,Colocasia,芋,Colocasia esculenta
海菜花/洱海海菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,澤瀉目,Alismatales,水鱉科,Hydrocharitaceae,,,水車前屬,Ottelia,海菜花,Ottelia acuminata
椰子,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,檳榔亞科,Arecoideae,椰子屬,Cocos,椰子,Cocos nucifera
檳榔,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,檳榔亞科,Arecoideae,檳榔屬,Areca,檳榔,Areca catechu
滇西蛇皮果,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,省藤亞科,Calamoideae,蛇皮果屬,Salacca,滇西蛇皮果,Salacca griffithii
糖椶/泰國海底椰,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,貝葉椶亞科,Coryphoideae,糖椶屬,Borassus,糖椶,Borassus flabellifer
水椰（亞答籽）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,椶櫚目,Arecales,椶櫚科,Arecaceae,水椰亞科,Nypoideae,水椰屬,Nypa,水椰,Nypa fruticans
薤/藠頭,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,薤,Allium chinense
洋蔥,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,洋蔥,Allium cepa
蔥,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,蔥,Allium fistulosum
蒜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,蒜,Allium sativum
韭菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,石蒜科,Amaryllidaceae,蔥亞科,Allioideae,蔥屬,Allium,韭菜,Allium tuberosum
蘆筍,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,天門冬科,Asparagaceae,天門冬亞科,Asparagoideae,天門冬屬,Asparagus,蘆筍,Asparagus officinalis
麥冬,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,天門冬科,Asparagaceae,假葉樹亞科,Nolinoideae,沿階草屬,Ophiopogon,麥冬,Ophiopogon japonicus
蘆薈,aloe,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,阿福花科,Asphodelaceae,阿福花亞科,Asphodeloideae,蘆薈屬,Aloe,蘆薈,Aloe vera
黃花菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,阿福花科,Asphodelaceae,萱草亞科,Hemerocallidoideae,萱草屬,Hemerocallis,萱草,Hemerocallis fulva
石橄欖,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,蘭科,Orchidaceae,樹蘭亞科,Epidendroideae,石仙桃屬,Pholidota,石橄欖,Pholidota chinensis
香草,vanilla,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,天門冬目,Asparagales,蘭科,Orchidaceae,香莢蘭亞科,Vanilloideae,香莢蘭屬,Vanilla,香莢蘭,Vanilla planifolia
山藥,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薯蕷目,Dioscoreales,薯蕷科,Dioscoreaceae,,,薯蕷屬,Dioscorea,長山藥,Dioscorea polystachya
百合,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,百合目,Liliales,百合科,Liliaceae,,,百合屬,Lilium,,
菠蘿,pineapple,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,鳳梨科,Bromeliaceae,鳳梨亞科,Bromelioideae,鳳梨屬,Ananas,鳳梨,Ananas comosus
荸薺,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,莎草科,Cyperaceae,莎草亞科,Cyperoideae,荸薺屬,Eleocharis,荸薺,Eleocharis dulcis
蘆葦（蘆根）,common reed,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,蘆竹亞科,Arundinoideae,蘆葦屬,Phragmites,蘆葦,Phragmites australis
竹筍,bamboo,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,竹亞科,Bambusoideae,,,,
水稻（米飯）,rice,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,稻亞科,Oryzoideae,稻屬,Oryza,水稻,Oryza sativa
菰（茭白）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,稻亞科,Oryzoideae,菰屬,Zizania,菰,Zizania latifolia
薏米/薏苡,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,薏苡屬,Coix,薏苡,Coix lacryma-jobi
香茅/檸檬草,lemon grass,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,香茅屬,Cymbopogon,,
黍/大黃米/糯小米/糜子,broomcorn millet,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,黍屬,Panicum,黍,Panicum miliaceum
甘蔗,sugarcane,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,甘蔗屬,Saccharum,中國竹蔗,Saccharum sinense
小米/粟,foxtail millet,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,狗尾草屬,Setaria,粟,Setaria italica
高粱/蜀黍,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,高粱屬,Sorghum,二色高粱,Sorghum bicolor
玉米,corn/maize,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,黍亞科,Panicoideae,玉米屬,Zea,玉米,Zea mays
燕麥,oat,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,早熟禾亞科,Pooideae,燕麥屬,Avena,燕麥,Avena sativa
小麥,wheat,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,早熟禾亞科,Pooideae,小麥屬,Triticum,小麥,Triticum aestivum
大麥,barley,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,禾本目,Poales,禾本科,Poaceae,早熟禾亞科,Pooideae,大麥屬,Hordeum,大麥,Hordeum vulgare
香蕉,banana,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薑目,Zingiberales,芭蕉科,Musaceae,,,芭蕉屬,Musa,,
草果/草豆蔻,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薑目,Zingiberales,薑科,Zingiberaceae,,,山薑屬,Alpinia,草果,Alpinia katsumadae
薑黃,turmeric,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薑目,Zingiberales,薑科,Zingiberaceae,,,薑黃屬,Curcuma,薑黃,Curcuma longa
